DateTime,Temperature (C),Temperature (F),Condition,Humidity,Wind (kph),Pressure (mb)
2024-04-17,2024-04-17 16:00,38.9,102.0,Sunny,31,14.7,1004.0
2024-04-17,2024-04-17 17:00,36.5,97.7,Sunny,40,19.0,1005.0
2024-04-17,2024-04-17 18:00,32.9,91.3,Sunny,56,17.7,1006.0
2024-04-17,2024-04-17 19:00,31.2,88.1,Clear,64,18.2,1007.0
2024-04-17,2024-04-17 20:00,30.5,87.0,Clear,66,20.9,1008.0
2024-04-17,2024-04-17 21:00,30.3,86.6,Clear,66,19.8,1009.0
2024-04-17,2024-04-17 22:00,30.2,86.4,Clear,65,18.4,1009.0
2024-04-17,2024-04-17 23:00,29.1,84.3,Clear,66,15.8,1009.0
2024-04-18,2024-04-18 00:00,28.8,83.9,Clear,67,15.1,1009.0
2024-04-18,2024-04-18 01:00,28.5,83.3,Clear,68,15.8,1008.0
2024-04-18,2024-04-18 02:00,28.3,83.0,Clear,69,15.1,1007.0
2024-04-18,2024-04-18 03:00,28.0,82.5,Clear,71,14.4,1007.0
2024-04-18,2024-04-18 04:00,27.7,81.8,Clear,72,13.3,1008.0
2024-04-18,2024-04-18 05:00,27.3,81.1,Clear,73,11.5,1008.0
2024-04-18,2024-04-18 06:00,28.5,83.3,Clear,73,12.6,1009.0
2024-04-18,2024-04-18 07:00,30.3,86.5,Sunny,66,10.4,1009.0
2024-04-18,2024-04-18 08:00,32.0,89.5,Sunny,58,13.3,1010.0
2024-04-18,2024-04-18 09:00,33.8,92.8,Sunny,52,13.0,1010.0
2024-04-18,2024-04-18 10:00,35.2,95.4,Partly cloudy,46,11.2,1009.0
2024-04-18,2024-04-18 11:00,36.8,98.3,Sunny,40,10.1,1008.0
2024-04-18,2024-04-18 12:00,38.4,101.1,Sunny,34,9.4,1006.0
2024-04-18,2024-04-18 13:00,39.6,103.3,Sunny,30,9.4,1005.0
2024-04-18,2024-04-18 14:00,40.1,104.3,Sunny,29,12.2,1004.0
2024-04-18,2024-04-18 15:00,39.5,103.1,Sunny,32,20.2,1003.0
2024-04-18,2024-04-18 16:00,36.8,98.3,Sunny,43,22.0,1003.0
2024-04-18,2024-04-18 17:00,34.4,93.9,Sunny,52,21.6,1004.0
2024-04-18,2024-04-18 18:00,32.7,90.9,Sunny,58,19.8,1005.0
2024-04-18,2024-04-18 19:00,31.5,88.7,Clear,63,21.6,1005.0
2024-04-18,2024-04-18 20:00,30.8,87.4,Clear,65,18.4,1006.0
2024-04-18,2024-04-18 21:00,30.6,87.1,Clear,66,17.3,1007.0
2024-04-18,2024-04-18 22:00,30.5,86.9,Clear,68,16.6,1007.0
2024-04-18,2024-04-18 23:00,30.3,86.5,Clear,70,16.6,1008.0
2024-04-19,2024-04-19 00:00,29.8,85.7,Clear,72,15.8,1008.0
2024-04-19,2024-04-19 01:00,29.6,85.2,Clear,74,15.1,1007.0
2024-04-19,2024-04-19 02:00,29.4,84.9,Clear,76,14.8,1006.0
2024-04-19,2024-04-19 03:00,29.2,84.5,Clear,77,13.3,1006.0
2024-04-19,2024-04-19 04:00,29.0,84.1,Clear,78,12.2,1007.0
2024-04-19,2024-04-19 05:00,28.8,83.8,Clear,79,10.1,1007.0
2024-04-19,2024-04-19 06:00,29.0,84.2,Clear,78,9.0,1007.0
2024-04-19,2024-04-19 07:00,30.7,87.3,Sunny,68,12.2,1008.0
2024-04-19,2024-04-19 08:00,32.3,90.2,Partly cloudy,59,10.4,1008.0
2024-04-19,2024-04-19 09:00,34.1,93.4,Sunny,51,10.1,1008.0
2024-04-19,2024-04-19 10:00,35.8,96.5,Sunny,45,10.1,1008.0
2024-04-19,2024-04-19 11:00,37.5,99.5,Sunny,38,10.1,1006.0
2024-04-19,2024-04-19 12:00,39.1,102.4,Sunny,33,9.0,1005.0
2024-04-19,2024-04-19 13:00,40.2,104.3,Sunny,29,9.4,1004.0
2024-04-19,2024-04-19 14:00,40.0,104.1,Partly cloudy,27,12.2,1002.0
2024-04-19,2024-04-19 15:00,39.7,103.4,Partly cloudy,28,17.6,1002.0
2024-04-19,2024-04-19 16:00,38.8,101.9,Sunny,36,20.7,1001.0
2024-04-19,2024-04-19 17:00,35.4,95.8,Sunny,49,22.7,1002.0
2024-04-19,2024-04-19 18:00,33.0,91.4,Sunny,59,23.0,1003.0
2024-04-19,2024-04-19 19:00,32.0,89.7,Clear,64,20.2,1004.0
2024-04-19,2024-04-19 20:00,31.4,88.6,Clear,67,19.8,1005.0
2024-04-19,2024-04-19 21:00,29.9,85.8,Clear,68,19.8,1006.0
2024-04-19,2024-04-19 22:00,29.5,85.1,Clear,70,19.1,1007.0
2024-04-19,2024-04-19 23:00,29.3,84.8,Clear,72,18.4,1007.0
2024-04-20,2024-04-20 00:00,29.6,85.3,Clear,75,15.5,1007.0
2024-04-20,2024-04-20 01:00,29.4,85.0,Clear,76,14.8,1006.0
2024-04-20,2024-04-20 02:00,29.2,84.5,Clear,76,13.7,1006.0
2024-04-20,2024-04-20 03:00,29.1,84.3,Clear,77,12.2,1006.0
